Nombre,Moneda,Región,Horizonte,Fecha,VCT0,VCT-1,Var%,Reexp.Pesos,VarCt-15,VarCt-104,VarCanual,QC,QC-1,PN0,PNt-1,MS,SD,CNV,CAL,CODCAF,CSG,CSD,SG,Categoria,Datos,Variación_Patrimonial
Gainvest Renta Variable - Clase A,ARS,Arg,Flex,04/06/24,335445.459,353555.925,-5.122,335445.459,-4.77,58.02,333.682,2024038.32,2024346.4,678954462.68,715719664.93,0.058,Banco Comafi S.A.,651.0,EF-3,1031.0,311.0,115.0,StoneX Asset Management S.A.,Renta Variable Peso Argentina,Gainvest Renta Variable - Clase A,-5.136815998145835
Gainvest Renta Variable - Clase B,ARS,Arg,Flex,04/06/24,18267.063,19253.026,-5.121,18267.063,-4.764,58.362,335.876,612949012.65,612949012.65,11196778335.38,11801123023.23,0.962,Banco Comafi S.A.,651.0,EF-3,3685.0,311.0,115.0,StoneX Asset Management S.A.,Renta Variable Peso Argentina,Gainvest Renta Variable - Clase B,-5.121077770822099
Gainvest Renta Variable - Clase C,ARS,Arg,Flex,04/06/24,1000,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Banco Comafi S.A.,651.0,EF-3,3686.0,311.0,115.0,StoneX Asset Management S.A.,Renta Variable Peso Argentina,Gainvest Renta Variable - Clase C,
MAF Acciones Argentinas - Clase A,ARS,Arg,Flex,04/06/24,520911.927,547073.247,-4.782,520911.927,-4.273,73.551,333.12,2497369.25,2476291.03,1300909427.5,1354712574.68,0.112,Banco Mariva S.A.,635.0,A- (Arg),2477.0,371.0,436.0,Mariva Asset Management S.A.U.S.G.F.C.I.,Renta Variable Peso Argentina,MAF Acciones Argentinas - Clase A,-3.971554423100342
MAF Acciones Argentinas - Clase B,ARS,Arg,Flex,04/06/24,520911.935,547073.255,-4.782,520911.935,-4.273,73.551,333.12,5981306.74,5981306.74,3115734065.42,3272212949.89,0.268,Banco Mariva S.A.,635.0,A- (Arg),1021.0,371.0,436.0,Mariva Asset Management S.A.U.S.G.F.C.I.,Renta Variable Peso Argentina,MAF Acciones Argentinas - Clase B,-4.782050767058423
1810 Renta Variable Argentina,ARS,Arg,Lar,04/06/24,1301618.926,1369045.805,-4.925,1301618.926,-4.627,66.472,337.458,22714519.0,22605600.0,29565647831.09,30948101841.5,2.539,Banco Credicoop Coop. Ltdo.,351.0,AA- (rv),275.0,241.0,116.0,Proahorro Administradora de Activos S.A.,Renta Variable Peso Argentina,1810 Renta Variable Argentina,-4.4670074355131915
1822 Raices Valores Negociables,ARS,Arg,Lar,04/06/24,15536613.591,16280074.31,-4.567,15536613.591,-4.156,67.695,331.981,2850863.78,2850830.51,44292768966.22,46411732477.2,3.804,Banco Provincia de Buenos Aires,107.0,A(Fvar),41.0,43.0,91.0,Provinfondos S.A.S.G.F.C.I.,Renta Variable Peso Argentina,1822 Raices Valores Negociables,-4.565577275144701
Adcap Acciones - Clase A,ARS,Arg,Lar,04/06/24,94480.018,99777.087,-5.309,94480.018,-5.046,66.433,366.464,86378323.91,85740140.05,8161025560.33,8554901452.91,0.701,Banco Comafi S.A.,687.0,EF-3,1255.0,381.0,115.0,Adcap Asset Management S.G.F.C.I.S.A.,Renta Variable Peso Argentina,Adcap Acciones - Clase A,-4.604096198513434
Adcap Acciones - Clase B,ARS,Arg,Lar,04/06/24,108879.943,114981.208,-5.306,108879.943,-5.035,67.155,371.857,24233427.88,24236765.46,2638534248.55,2786772570.49,0.227,Banco Comafi S.A.,687.0,EF-3,1256.0,381.0,115.0,Adcap Asset Management S.G.F.C.I.S.A.,Renta Variable Peso Argentina,Adcap Acciones - Clase B,-5.319354851907946
Allaria Acciones - Clase A,ARS,Arg,Lar,04/06/24,468380.069,491299.324,-4.665,468380.069,-4.267,66.512,327.319,17490075.63,17518767.06,8192002835.17,8606958409.36,0.704,Banco de Valores S.A.,582.0,A,835.0,356.0,65.0,Allaria Fondos Administrados S.G.F.C.I.S.A.,Renta Variable Peso Argentina,Allaria Acciones - Clase A,-4.821163928696804
Allaria Acciones - Clase B,ARS,Arg,Lar,04/06/24,638934.571,670175.401,-4.662,638934.571,-4.253,67.464,333.711,12686381.94,12623793.37,8105767999.15,8460155775.45,0.696,Banco de Valores S.A.,582.0,A,836.0,356.0,65.0,Allaria Fondos Administrados S.G.F.C.I.S.A.,Renta Variable Peso Argentina,Allaria Acciones - Clase B,-4.188903676317357
Alpha Acciones - Clase A,ARS,Arg,Lar,04/06/24,33183.086,34704.576,-4.384,33183.086,-3.841,73.853,365.834,210677498.86,213660902.72,6990929581.79,7415010969.2,0.6,ICBC (Arg) S.A.,14.0,A+(arg)rv,35.0,8.0,62.0,ICBC Investments Argentina S.A.U.S.G.F.C.I.,Renta Variable Peso Argentina,Alpha Acciones - Clase A,-5.719228052008582
Alpha Acciones - Clase B,ARS,Arg,Lar,04/06/24,20718.104,21669.937,-4.392,20718.104,-3.875,71.48,350.884,689744215.5,689439554.83,14290192141.94,14940111510.65,1.227,ICBC (Arg) S.A.,14.0,A+(arg)rv,590.0,8.0,62.0,ICBC Investments Argentina S.A.U.S.G.F.C.I.,Renta Variable Peso Argentina,Alpha Acciones - Clase B,-4.350164108525607
Alpha Acciones - Clase C,ARS,Arg,Lar,04/06/24,20023.558,20943.482,-4.392,20023.558,-3.875,71.48,350.884,413056.72,421515.07,8270864.95,8827993.2,0.001,ICBC (Arg) S.A.,14.0,A+(arg)rv,591.0,8.0,62.0,ICBC Investments Argentina S.A.U.S.G.F.C.I.,Renta Variable Peso Argentina,Alpha Acciones - Clase C,-6.310927493691308
Alpha Acciones - Clase D,ARS,Arg,Lar,04/06/24,0.469,0.477,-1.677,598.456,-5.823,-21.963,-62.659,0.0,0.0,0.0,0.0,0,ICBC (Arg) S.A.,14.0,A+(arg)rv,1824.0,8.0,62.0,ICBC Investments Argentina S.A.U.S.G.F.C.I.,Renta Variable Peso Argentina,Alpha Acciones - Clase D,
Alpha Acciones - Clase E,ARS,Arg,Lar,04/06/24,13.098,13.933,-5.993,16716.752,-9.544,33.831,68.376,354510.5,354510.5,4643.31,4939.36,0,ICBC (Arg) S.A.,14.0,A+(arg)rv,1825.0,8.0,62.0,ICBC Investments Argentina S.A.U.S.G.F.C.I.,Renta Variable Peso Argentina,Alpha Acciones - Clase E,-5.993691490395502
Alpha Acciones - Clase I,ARS,Arg,Lar,04/06/24,0.464,0.471,-1.486,591.661,-5.882,-21.886,-62.611,0.0,0.0,0.0,0.0,0,ICBC (Arg) S.A.,14.0,A+(arg)rv,1826.0,8.0,62.0,ICBC Investments Argentina S.A.U.S.G.F.C.I.,Renta Variable Peso Argentina,Alpha Acciones - Clase I,
Alpha Acciones - Clase J,ARS,Arg,Lar,04/06/24,1110.031,1110.031,0.0,1110.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ICBC (Arg) S.A.,14.0,A+(arg)rv,3634.0,8.0,62.0,ICBC Investments Argentina S.A.U.S.G.F.C.I.,Renta Variable Peso Argentina,Alpha Acciones - Clase J,
Alpha Acciones - Clase K,ARS,Arg,Lar,04/06/24,9559.606,9998.794,-4.392,9559.606,-3.875,71.48,339.841,10547395.69,10320762.9,100828942.64,103195182.95,0.009,ICBC (Arg) S.A.,14.0,A+(arg)rv,3635.0,8.0,62.0,ICBC Investments Argentina S.A.U.S.G.F.C.I.,Renta Variable Peso Argentina,Alpha Acciones - Clase K,-2.2929755462970496
Alpha Mega - Clase A,ARS,Arg,Lar,04/06/24,452729.994,473534.982,-4.394,452729.994,-4.098,67.844,353.74,31168746.75,31169683.09,14111026529.09,14759935322.72,1.212,ICBC (Arg) S.A.,80.0,A+(arg)rv,381.0,8.0,62.0,ICBC Investments Argentina S.A.U.S.G.F.C.I.,Renta Variable Peso Argentina,Alpha Mega - Clase A,-4.396420305657657
Alpha Mega - Clase B,ARS,Arg,Lar,04/06/24,280802.799,293732.438,-4.402,280802.799,-4.131,65.534,338.257,40444821.79,40504932.93,11357019148.7,11897612718.9,0.975,ICBC (Arg) S.A.,80.0,A+(arg)rv,594.0,8.0,62.0,ICBC Investments Argentina S.A.U.S.G.F.C.I.,Renta Variable Peso Argentina,Alpha Mega - Clase B,-4.543714633955405
Alpha Mega - Clase C,ARS,Arg,Lar,04/06/24,268468.982,280830.711,-4.402,268468.982,-4.131,65.534,338.258,23330.33,23155.44,6263469.5,6502757.65,0.001,ICBC (Arg) S.A.,80.0,A+(arg)rv,595.0,8.0,62.0,ICBC Investments Argentina S.A.U.S.G.F.C.I.,Renta Variable Peso Argentina,Alpha Mega - Clase C,-3.679794986670007
Alpha Mega - Clase D,ARS,Arg,Lar,04/06/24,201.455,204.886,-1.675,257116.75,-5.9,-9.612,16.927,0.0,0.0,0.0,0.0,0,ICBC (Arg) S.A.,80.0,A+(arg)rv,1844.0,8.0,62.0,ICBC Investments Argentina S.A.U.S.G.F.C.I.,Renta Variable Peso Argentina,Alpha Mega - Clase D,
Alpha Mega - Clase E,ARS,Arg,Lar,04/06/24,180.676,192.215,-6.003,230597.215,-9.787,29.187,63.669,63489.97,63489.97,11471.12,12203.7,0,ICBC (Arg) S.A.,80.0,A+(arg)rv,1845.0,8.0,62.0,ICBC Investments Argentina S.A.U.S.G.F.C.I.,Renta Variable Peso Argentina,Alpha Mega - Clase E,-6.0029335365503895
Alpha Mega - Clase I,ARS,Arg,Lar,04/06/24,6.943,7.061,-1.671,8861.123,-5.896,-21.954,-62.654,0.0,0.0,0.0,0.0,0,ICBC (Arg) S.A.,80.0,A+(arg)rv,1846.0,8.0,62.0,ICBC Investments Argentina S.A.U.S.G.F.C.I.,Renta Variable Peso Argentina,Alpha Mega - Clase I,
Alpha Mega - Clase J,ARS,Arg,Lar,04/06/24,1352.322,1352.322,0.0,1352.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ICBC (Arg) S.A.,80.0,A+(arg)rv,3642.0,8.0,62.0,ICBC Investments Argentina S.A.U.S.G.F.C.I.,Renta Variable Peso Argentina,Alpha Mega - Clase J,
Alpha Mega - Clase K,ARS,Arg,Lar,04/06/24,1110.441,1110.441,0.0,1110.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ICBC (Arg) S.A.,80.0,A+(arg)rv,3643.0,8.0,62.0,ICBC Investments Argentina S.A.U.S.G.F.C.I.,Renta Variable Peso Argentina,Alpha Mega - Clase K,
Alpha Mercosur - Clase A,ARS,Arg,Lar,04/06/24,19783447.969,20654595.066,-4.218,19783447.969,-2.755,78.273,393.552,217656.22,215240.7,4305990543.05,4445709427.88,0.37,ICBC (Arg) S.A.,242.0,BBB (arg) rv,850.0,8.0,62.0,ICBC Investments Argentina S.A.U.S.G.F.C.I.,Renta Variable Peso Argentina,Alpha Mercosur - Clase A,-3.142780406514936
Alpha Mercosur - Clase B,ARS,Arg,Lar,04/06/24,16832617.377,17575016.05,-4.224,16832617.377,-2.781,75.379,378.673,704776.2,699267.74,11863228054.06,12289641840.02,1.019,ICBC (Arg) S.A.,242.0,BBB (arg) rv,851.0,8.0,62.0,ICBC Investments Argentina S.A.U.S.G.F.C.I.,Renta Variable Peso Argentina,Alpha Mercosur - Clase B,-3.469700675665151
Alpha Mercosur - Clase C,ARS,Arg,Lar,04/06/24,86.583,88.058,-1.675,110506.605,-5.901,-21.957,-62.655,0.0,0.0,0.0,0.0,0,ICBC (Arg) S.A.,242.0,BBB (arg) rv,1827.0,8.0,62.0,ICBC Investments Argentina S.A.U.S.G.F.C.I.,Renta Variable Peso Argentina,Alpha Mercosur - Clase C,
Alpha Mercosur - Clase D,ARS,Arg,Lar,04/06/24,10572.15,11226.453,-5.828,13493249.764,-8.518,37.65,79.78,7341.19,7341.19,77612.15,82415.51,0,ICBC (Arg) S.A.,242.0,BBB (arg) rv,1828.0,8.0,62.0,ICBC Investments Argentina S.A.U.S.G.F.C.I.,Renta Variable Peso Argentina,Alpha Mercosur - Clase D,-5.828223352618943
Alpha Mercosur - Clase I,ARS,Arg,Lar,04/06/24,86.456,87.929,-1.675,110344.394,-5.9,-21.958,-62.655,0.0,0.0,0.0,0.0,0,ICBC (Arg) S.A.,242.0,BBB (arg) rv,1829.0,8.0,62.0,ICBC Investments Argentina S.A.U.S.G.F.C.I.,Renta Variable Peso Argentina,Alpha Mercosur - Clase I,
Alpha Mercosur - Clase J,ARS,Arg,Lar,04/06/24,1379.549,1379.549,0.0,1379.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ICBC (Arg) S.A.,242.0,BBB (arg) rv,3644.0,8.0,62.0,ICBC Investments Argentina S.A.U.S.G.F.C.I.,Renta Variable Peso Argentina,Alpha Mercosur - Clase J,
Alpha Mercosur - Clase K,ARS,Arg,Lar,04/06/24,7025.795,7335.666,-4.224,7025.795,-2.781,76.378,381.4,2429120.23,2192081.86,17066500.91,16080381.04,0.001,ICBC (Arg) S.A.,242.0,BBB (arg) rv,3645.0,8.0,62.0,ICBC Investments Argentina S.A.U.S.G.F.C.I.,Renta Variable Peso Argentina,Alpha Mercosur - Clase K,6.1324409387254235
Arpenta Acciones Argentina,ARS,Arg,Lar,04/06/24,434949.781,449967.392,-3.337,434949.781,-2.62,40.395,281.004,408962.02,408962.02,177877941.17,184019573.76,0.015,Banco de Valores S.A.,575.0,A-,823.0,40.0,65.0,Mercofond S.G.F.C.I.S.A.,Renta Variable Peso Argentina,Arpenta Acciones Argentina,-3.337488759760946
Compass Crecimiento - Clase A,ARS,Arg,Lar,04/06/24,5617979.749,5904522.888,-4.853,5617979.749,-4.268,66.544,329.57,954598.06,928132.81,5362912582.71,5480181394.14,0.461,Banco de Valores S.A.,421.0,(AA)=EF-2,341.0,21.0,65.0,Investis Asset Management S.A.S.G.F.C.I.,Renta Variable Peso Argentina,Compass Crecimiento - Clase A,-2.1398709822889574
Compass Crecimiento - Clase B,ARS,Arg,Lar,04/06/24,7276192.005,7646940.027,-4.848,7276192.005,-4.258,67.186,334.991,2023815.2,2023815.2,14725667971.7,15475993453.55,1.265,Banco de Valores S.A.,421.0,(AA)=EF-2,342.0,21.0,65.0,Investis Asset Management S.A.S.G.F.C.I.,Renta Variable Peso Argentina,Compass Crecimiento - Clase B,-4.848318682106209
Compass Crecimiento - Clase C,ARS,Arg,Lar,04/06/24,8303502.333,8726277.442,-4.845,8303502.333,-4.251,67.727,337.665,3702432.35,3702432.35,30743155696.42,32308451938.61,2.64,Banco de Valores S.A.,421.0,(AA)=EF-2,343.0,21.0,65.0,Investis Asset Management S.A.S.G.F.C.I.,Renta Variable Peso Argentina,Compass Crecimiento - Clase C,-4.844850645163241
Compass Crecimiento II - Clase A,ARS,Arg,Lar,04/06/24,356315.422,368402.562,-3.281,356315.422,-2.177,43.24,228.236,1023760.42,1009755.47,364781626.31,371996500.67,0.031,Banco de Valores S.A.,563.0,(A)=EF-3,788.0,21.0,65.0,Investis Asset Management S.A.S.G.F.C.I.,Renta Variable Peso Argentina,Compass Crecimiento II - Clase A,-1.9395005993350367
Compass Crecimiento II - Clase B,ARS,Arg,Lar,04/06/24,444023.937,459067.78,-3.277,444023.937,-2.17,43.842,231.535,130935.86,130935.86,58138655.91,60108434.37,0.005,Banco de Valores S.A.,563.0,(A)=EF-3,789.0,21.0,65.0,Investis Asset Management S.A.S.G.F.C.I.,Renta Variable Peso Argentina,Compass Crecimiento II - Clase B,-3.2770417007951775
Compass Crecimiento II - Clase C,ARS,Arg,Lar,04/06/24,565176.67,584250.694,-3.265,565176.67,-2.145,45.755,242.13,0.0,0.0,0.0,0.0,0,Banco de Valores S.A.,563.0,(A)=EF-3,790.0,21.0,65.0,Investis Asset Management S.A.S.G.F.C.I.,Renta Variable Peso Argentina,Compass Crecimiento II - Clase C,
Consultatio Acciones Argentina - Clase A,ARS,Arg,Lar,04/06/24,8286274.889,8685831.147,-4.6,8286274.889,-4.059,71.842,333.756,292062.86,291010.95,2420113180.81,2527671973.62,0.208,Banco de Valores S.A.,271.0,EF-3,1208.0,22.0,65.0,Consultatio Asset Management G.F.C.I.S.A.,Renta Variable Peso Argentina,Consultatio Acciones Argentina - Clase A,-4.25525123245956
Consultatio Acciones Argentina - Clase B,ARS,Arg,Lar,04/06/24,9127554.296,9567349.46,-4.597,9127554.296,-4.046,72.772,339.251,1375667.46,1373476.29,12556479450.32,13140527683.26,1.078,Banco de Valores S.A.,271.0,EF-3,216.0,22.0,65.0,Consultatio Asset Management G.F.C.I.S.A.,Renta Variable Peso Argentina,Consultatio Acciones Argentina - Clase B,-4.44463302401495
Consultatio Acciones Argentina - Clase C,ARS,Arg,Lar,04/06/24,9360979.347,9811914.446,-4.596,9360979.347,-4.042,73.07,341.025,2097861.72,2097861.72,19638040216.45,20584039698.88,1.686,Banco de Valores S.A.,271.0,EF-3,1634.0,22.0,65.0,Consultatio Asset Management G.F.C.I.S.A.,Renta Variable Peso Argentina,Consultatio Acciones Argentina - Clase C,-4.595791187098581
Consultatio Renta Variable - Clase A,ARS,Arg,Lar,04/06/24,632302.624,663378.298,-4.684,632302.624,-4.217,73.24,348.529,1341708.74,1319480.74,848365955.55,875314888.52,0.073,Banco de Valores S.A.,653.0,EF-3,1037.0,22.0,65.0,Consultatio Asset Management G.F.C.I.S.A.,Renta Variable Peso Argentina,Consultatio Renta Variable - Clase A,-3.0787700887352467
Consultatio Renta Variable - Clase B,ARS,Arg,Lar,04/06/24,704655.255,739266.632,-4.682,704655.255,-4.207,73.99,353.07,22527222.59,22527222.59,15873925788.57,16653623982.65,1.363,Banco de Valores S.A.,653.0,EF-3,1038.0,22.0,65.0,Consultatio Asset Management G.F.C.I.S.A.,Renta Variable Peso Argentina,Consultatio Renta Variable - Clase B,-4.681853000237675
Consultatio Renta Variable - Clase C,ARS,Arg,Lar,04/06/24,18875.143,19800.973,-4.676,18875.143,-4.182,75.78,364.019,0.0,0.0,0.0,0.0,0,Banco de Valores S.A.,653.0,EF-3,3266.0,22.0,65.0,Consultatio Asset Management G.F.C.I.S.A.,Renta Variable Peso Argentina,Consultatio Renta Variable - Clase C,
